:START_ID(Employee),:END_ID(Order),:TYPE
1,92,PROCESSED
1,88,PROCESSED
1,87,PROCESSED
1,81,PROCESSED
1,76,PROCESSED
1,68,PROCESSED
1,66,PROCESSED
1,61,PROCESSED
1,60,PROCESSED
1,59,PROCESSED
1,58,PROCESSED
1,57,PROCESSED
1,56,PROCESSED
1,52,PROCESSED
1,44,PROCESSED
1,37,PROCESSED
1,35,PROCESSED
1,34,PROCESSED
1,32,PROCESSED
1,30,PROCESSED
1,29,PROCESSED
1,28,PROCESSED
1,24,PROCESSED
1,20,PROCESSED
1,19,PROCESSED
1,14,PROCESSED
1,10,PROCESSED
1,7,PROCESSED
1,6,PROCESSED
1,5,PROCESSED
1,3,PROCESSED
2,100,PROCESSED
2,99,PROCESSED
2,95,PROCESSED
2,90,PROCESSED
2,84,PROCESSED
2,83,PROCESSED
2,82,PROCESSED
2,73,PROCESSED
2,71,PROCESSED
2,70,PROCESSED
2,69,PROCESSED
2,64,PROCESSED
2,63,PROCESSED
2,62,PROCESSED
2,54,PROCESSED
2,50,PROCESSED
2,48,PROCESSED
2,46,PROCESSED
2,43,PROCESSED
2,36,PROCESSED
2,31,PROCESSED
2,26,PROCESSED
2,22,PROCESSED
2,21,PROCESSED
2,17,PROCESSED
2,13,PROCESSED
3,98,PROCESSED
3,97,PROCESSED
3,96,PROCESSED
3,94,PROCESSED
3,93,PROCESSED
3,91,PROCESSED
3,89,PROCESSED
3,86,PROCESSED
3,85,PROCESSED
3,80,PROCESSED
3,79,PROCESSED
3,78,PROCESSED
3,77,PROCESSED
3,75,PROCESSED
3,74,PROCESSED
3,72,PROCESSED
3,67,PROCESSED
3,65,PROCESSED
3,55,PROCESSED
3,53,PROCESSED
3,51,PROCESSED
3,49,PROCESSED
3,47,PROCESSED
3,45,PROCESSED
3,42,PROCESSED
3,41,PROCESSED
3,40,PROCESSED
3,39,PROCESSED
3,38,PROCESSED
3,33,PROCESSED
3,27,PROCESSED
3,25,PROCESSED
3,23,PROCESSED
3,18,PROCESSED
3,16,PROCESSED
3,15,PROCESSED
3,12,PROCESSED
3,11,PROCESSED
3,9,PROCESSED
3,8,PROCESSED
3,4,PROCESSED
3,2,PROCESSED
3,1,PROCESSED
