orderId:ID(Order),OrderDate,RequiredDate,ShippedDate,Freight,ShipName,ShipAddress,ShipCity,ShipRegion,ShipPostalCode,ShipCountry,CustomerName,LastName,FirstName,ShipperName,labels:LABEL
92,2026-03-22 08:34:01,2026-04-03 08:34:01,2026-03-23 08:34:01,153.46,方正科技科技有限公司区块链技术,江苏省玉英县西夏哈尔滨路c座 244073,哈尔滨县,四川省,204858,中国,方正科技科技有限公司区块链技术,李,华,申通快递,Order
88,2024-11-05 18:06:14,2024-11-19 18:06:14,2024-11-08 18:06:14,216.32,方正科技科技有限公司区块链技术,江苏省玉英县西夏哈尔滨路c座 244073,哈尔滨县,四川省,204858,中国,方正科技科技有限公司区块链技术,李,华,百世快递,Order
87,2025-05-03 15:22:07,2025-05-13 15:22:07,2025-05-08 15:22:07,70.85,创汇传媒有限公司物联网,青海省凤英县崇文宜都路k座 107909,哈尔滨县,福建省,727350,中国,创汇传媒有限公司物联网,李,华,中通快递,Order
81,2025-01-15 17:33:15,2025-01-28 17:33:15,2025-01-16 17:33:15,157.37,创汇科技有限公司数字科技,江苏省海口县普陀安路T座 769434,丹丹县,贵州省,601140,中国,创汇科技有限公司数字科技,李,华,邮政EMS,Order
76,2024-10-23 07:16:08,2024-10-30 07:16:08,2024-10-28 07:16:08,493.77,华成育卓传媒有限公司互联网服务,吉林省嘉禾县淄川王街d座 189028,澳门市,天津市,439853,中国,华成育卓传媒有限公司互联网服务,李,华,韵达快递,Order
68,2025-02-07 23:11:03,2025-02-14 23:11:03,2025-02-08 23:11:03,449.75,联通时科网络有限公司数字科技,新疆维吾尔自治区鹏县沙市陈街k座 155641,邯郸县,北京市,797788,中国,联通时科网络有限公司数字科技,李,华,中通快递,Order
66,2024-05-22 21:40:11,2024-05-25 21:40:11,,205.53,菊风公司传媒有限公司科技公司,浙江省荆门县山亭汕尾街y座 742712,莹市,广西壮族自治区,553103,中国,菊风公司传媒有限公司科技公司,李,华,顺丰速运,Order
61,2025-10-19 08:48:48,2025-10-24 08:48:48,2025-10-21 08:48:48,468.21,菊风公司传媒有限公司科技公司,浙江省荆门县山亭汕尾街y座 742712,莹市,广西壮族自治区,553103,中国,菊风公司传媒有限公司科技公司,李,华,申通快递,Order
60,2024-10-02 03:50:08,2024-10-14 03:50:08,2024-10-04 03:50:08,466.05,时刻信息有限公司区块链技术,上海市玲市江北顾街Y座 553482,建平县,山西省,161800,中国,时刻信息有限公司区块链技术,李,华,百世快递,Order
59,2025-03-03 01:03:19,2025-03-08 01:03:19,2025-03-07 01:03:19,426.75,联通时科网络有限公司数字科技,新疆维吾尔自治区鹏县沙市陈街k座 155641,邯郸县,北京市,797788,中国,联通时科网络有限公司数字科技,李,华,百世快递,Order
58,2024-12-15 12:40:53,2024-12-20 12:40:53,,22.41,菊风公司传媒有限公司科技公司,浙江省荆门县山亭汕尾街y座 742712,莹市,广西壮族自治区,553103,中国,菊风公司传媒有限公司科技公司,李,华,德邦物流,Order
