:START_ID(Order),:END_ID(Shipper),:TYPE
92,5,SHIPPED_VIA
88,7,SHIPPED_VIA
87,3,SHIPPED_VIA
81,10,SHIPPED_VIA
76,6,SHIPPED_VIA
68,3,SHIPPED_VIA
66,1,SHIPPED_VIA
61,5,SHIPPED_VIA
60,7,SHIPPED_VIA
59,7,SHIPPED_VIA
58,9,SHIPPED_VIA
57,9,SHIPPED_VIA
56,1,SHIPPED_VIA
52,7,SHIPPED_VIA
44,2,SHIPPED_VIA
37,3,SHIPPED_VIA
35,10,SHIPPED_VIA
34,2,SHIPPED_VIA
32,4,SHIPPED_VIA
30,9,SHIPPED_VIA
29,5,SHIPPED_VIA
28,8,SHIPPED_VIA
24,4,SHIPPED_VIA
20,9,SHIPPED_VIA
19,2,SHIPPED_VIA
14,5,SHIPPED_VIA
10,9,SHIPPED_VIA
7,7,SHIPPED_VIA
6,4,SHIPPED_VIA
5,1,SHIPPED_VIA
3,1,SHIPPED_VIA
100,8,SHIPPED_VIA
99,6,SHIPPED_VIA
95,9,SHIPPED_VIA
90,5,SHIPPED_VIA
84,1,SHIPPED_VIA
83,9,SHIPPED_VIA
82,4,SHIPPED_VIA
73,9,SHIPPED_VIA
71,6,SHIPPED_VIA
70,10,SHIPPED_VIA
69,10,SHIPPED_VIA
64,9,SHIPPED_VIA
63,3,SHIPPED_VIA
62,6,SHIPPED_VIA
54,10,SHIPPED_VIA
50,1,SHIPPED_VIA
48,9,SHIPPED_VIA
46,6,SHIPPED_VIA
43,7,SHIPPED_VIA
36,4,SHIPPED_VIA
31,10,SHIPPED_VIA
26,1,SHIPPED_VIA
22,10,SHIPPED_VIA
21,8,SHIPPED_VIA
17,4,SHIPPED_VIA
13,8,SHIPPED_VIA
98,7,SHIPPED_VIA
97,9,SHIPPED_VIA
96,5,SHIPPED_VIA
94,9,SHIPPED_VIA
93,7,SHIPPED_VIA
91,1,SHIPPED_VIA
89,7,SHIPPED_VIA
86,9,SHIPPED_VIA
85,10,SHIPPED_VIA
80,2,SHIPPED_VIA
79,6,SHIPPED_VIA
78,5,SHIPPED_VIA
77,4,SHIPPED_VIA
75,4,SHIPPED_VIA
74,2,SHIPPED_VIA
72,9,SHIPPED_VIA
67,1,SHIPPED_VIA
65,6,SHIPPED_VIA
55,1,SHIPPED_VIA
53,9,SHIPPED_VIA
51,3,SHIPPED_VIA
49,9,SHIPPED_VIA
47,7,SHIPPED_VIA
45,1,SHIPPED_VIA
42,4,SHIPPED_VIA
41,6,SHIPPED_VIA
40,5,SHIPPED_VIA
39,3,SHIPPED_VIA
38,5,SHIPPED_VIA
33,2,SHIPPED_VIA
27,8,SHIPPED_VIA
25,4,SHIPPED_VIA
23,9,SHIPPED_VIA
18,2,SHIPPED_VIA
16,1,SHIPPED_VIA
15,1,SHIPPED_VIA
12,4,SHIPPED_VIA
11,10,SHIPPED_VIA
9,5,SHIPPED_VIA
8,5,SHIPPED_VIA
4,9,SHIPPED_VIA
2,6,SHIPPED_VIA
1,9,SHIPPED_VIA
