OrderID,ProductID,UnitPrice,Quantity,Discount,ProductName,QuantityPerUnit
1,1,3978.32,20,0.1,博世 智能摄像头 Plus,1套/箱
1,3,685.81,15,0.0,格力 智能门铃 Elite,1台/件
1,5,1944.52,4,0.1,松下 智能扫地机器人 Elite,1套/箱
1,6,6130.58,6,0.15,亚马逊 智能空调 Max,1个/件
2,6,6584.0,4,0.2,亚马逊 智能空调 Max,1个/件
3,4,4582.27,9,0.2,亚马逊 智能门铃 Advanced,5个/套
4,8,10248.26,6,0.05,华为 智能灯具 Mini,1个/盒
5,2,339.77,4,0.2,格力 智能门铃 Advanced,5个/套
5,3,677.17,4,0.15,格力 智能门铃 Elite,1台/件
5,9,3874.89,10,0.2,谷歌 智能体重秤 Ultra,1台/箱
6,3,708.56,4,0.1,格力 智能门铃 Elite,1台/件
6,6,6364.35,3,0.15,亚马逊 智能空调 Max,1个/件
6,7,1152.36,6,0.15,美的 智能门铃 Pro,2个/包
6,9,3935.88,20,0.2,谷歌 智能体重秤 Ultra,1台/箱
7,2,337.3,11,0.2,格力 智能门铃 Advanced,5个/套
7,3,691.69,20,0.1,格力 智能门铃 Elite,1台/件
7,5,1933.99,5,0.0,松下 智能扫地机器人 Elite,1套/箱
7,10,1401.86,11,0.15,松下 智能窗帘 Mini,3个/套
8,1,3796.08,16,0.15,博世 智能摄像头 Plus,1套/箱
8,3,713.14,19,0.05,格力 智能门铃 Elite,1台/件
8,6,5988.79,19,0.2,亚马逊 智能空调 Max,1个/件
9,2,320.29,12,0.0,格力 智能门铃 Advanced,5个/套
9,7,1066.21,8,0.1,美的 智能门铃 Pro,2个/包
9,10,1428.66,9,0.05,松下 智能窗帘 Mini,3个/套
10,1,3892.43,19,0.15,博世 智能摄像头 Plus,1套/箱
10,4,4309.71,17,0.05,亚马逊 智能门铃 Advanced,5个/套
10,9,3697.77,2,0.2,谷歌 智能体重秤 Ultra,1台/箱
11,6,6371.95,11,0.05,亚马逊 智能空调 Max,1个/件
12,4,4271.92,15,0.1,亚马逊 智能门铃 Advanced,5个/套
13,1,3801.8,16,0.0,博世 智能摄像头 Plus,1套/箱
13,3,698.97,8,0.05,格力 智能门铃 Elite,1台/件
13,6,6425.82,20,0.2,亚马逊 智能空调 Max,1个/件
14,1,4023.92,20,0.1,博世 智能摄像头 Plus,1套/箱
14,3,703.51,11,0.0,格力 智能门铃 Elite,1台/件
14,7,1146.97,5,0.15,美的 智能门铃 Pro,2个/包
14,9,3727.36,20,0.0,谷歌 智能体重秤 Ultra,1台/箱
14,10,1384.25,2,0.1,松下 智能窗帘 Mini,3个/套
15,4,4228.71,16,0.15,亚马逊 智能门铃 Advanced,5个/套
16,6,6381.77,13,0.0,亚马逊 智能空调 Max,1个/件
16,8,9506.53,2,0.2,华为 智能灯具 Mini,1个/盒
16,9,3709.1,18,0.1,谷歌 智能体重秤 Ultra,1台/箱
17,4,4592.7,8,0.0,亚马逊 智能门铃 Advanced,5个/套
17,6,6000.91,7,0.2,亚马逊 智能空调 Max,1个/件
17,7,1169.18,5,0.2,美的 智能门铃 Pro,2个/包
18,1,3775.62,20,0.2,博世 智能摄像头 Plus,1套/箱
18,3,715.14,3,0.0,格力 智能门铃 Elite,1台/件
18,4,4336.54,20,0.15,亚马逊 智能门铃 Advanced,5个/套
18,7,1168.12,14,0.15,美的 智能门铃 Pro,2个/包
18,10,1394.07,11,0.15,松下 智能窗帘 Mini,3个/套
19,2,315.24,3,0.2,格力 智能门铃 Advanced,5个/套
19,4,4374.67,18,0.2,亚马逊 智能门铃 Advanced,5个/套
20,3,682.66,7,0.2,格力 智能门铃 Elite,1台/件
20,5,1980.73,20,0.1,松下 智能扫地机器人 Elite,1套/箱
20,6,6388.47,13,0.0,亚马逊 智能空调 Max,1个/件
21,2,324.17,6,0.0,格力 智能门铃 Advanced,5个/套
21,3,680.77,3,0.0,格力 智能门铃 Elite,1台/件
21,10,1334.46,4,0.0,松下 智能窗帘 Mini,3个/套
22,6,6061.14,1,0.0,亚马逊 智能空调 Max,1个/件
22,7,1147.52,13,0.05,美的 智能门铃 Pro,2个/包
22,9,3776.87,3,0.0,谷歌 智能体重秤 Ultra,1台/箱
23,9,3896.7,14,0.1,谷歌 智能体重秤 Ultra,1台/箱
24,3,724.84,12,0.2,格力 智能门铃 Elite,1台/件
24,4,4293.67,1,0.1,亚马逊 智能门铃 Advanced,5个/套
24,5,1976.98,10,0.1,松下 智能扫地机器人 Elite,1套/箱
24,6,6519.52,11,0.1,亚马逊 智能空调 Max,1个/件
